agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 1768,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-102444,,no,4740,2020-09-10T07:00,,,,11858.48,9763.41,173.09,562.70,54002.8192,240.2217,54002.8192,194.0000,68,1,0,1.000,1.000,REFUSED_ALL_FULL,11857.23,1.25,1,B_optimized_placement,1.4203,68,55-69,MALE,0,unimpaired,1,0,1,1
Site 1769,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-102024,,no,4740,2020-09-10T07:00,,,,9717.92,7542.68,173.09,562.70,54002.8192,257.4375,54002.8192,194.0000,30,0,0,1.000,1.000,REFUSED_ALL_FULL,9636.51,81.41,1,B_optimized_placement,1.1669,30,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1770,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-167636,,no,4740,2020-09-10T07:00,,,,14156.70,12045.92,173.09,562.70,54002.8192,268.9542,54002.8192,194.0000,23,1,1,1.000,1.000,REFUSED_ALL_FULL,14139.75,16.95,1,B_optimized_placement,1.4772,23,18-24,MALE,0,unimpaired,1,1,1,1
Site 1771,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-156160,,no,4740,2020-09-10T07:00,,,,3768.51,1646.42,173.09,562.70,54002.8192,189.2092,54002.8192,194.0000,27,0,1,1.000,1.000,REFUSED_ALL_FULL,3740.25,28.26,1,B_optimized_placement,1.0532,27,25-54,MALE,1,ambulant_impaired_no_aid,0,1,1,1
Site 1772,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-221935,,no,4740,2020-09-10T07:00,,,,16226.36,14131.27,173.09,562.70,54002.8192,352.7200,54002.8192,194.0000,20,0,0,1.000,1.000,REFUSED_ALL_FULL,16225.09,1.27,1,B_optimized_placement,1.3136,20,18-24,MALE,0,unimpaired,0,0,0,0
Site 1773,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-102289,,no,4740,2020-09-10T07:00,,,,9241.75,7142.96,173.09,562.70,54002.8192,248.5642,54002.8192,194.0000,52,0,0,1.000,1.000,REFUSED_ALL_FULL,9236.78,4.96,1,B_optimized_placement,1.1904,52,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1774,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-130074,,no,4740,2020-09-10T07:00,,,,12721.97,10578.79,173.09,562.70,54002.8192,254.3483,54002.8192,194.0000,48,0,0,1.000,1.000,REFUSED_ALL_FULL,12672.61,49.36,1,B_optimized_placement,1.4277,48,25-54,MALE,0,unimpaired,0,0,0,0
Site 1775,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-123859,,no,4740,2020-09-10T07:00,,,,18431.05,16311.85,173.09,562.70,54002.8192,452.5492,54002.8192,194.0000,27,0,0,1.000,1.000,REFUSED_ALL_FULL,18405.67,25.38,1,B_optimized_placement,1.1689,27,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1776,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-149733,,no,4740,2020-09-10T07:00,,,,13059.07,10942.58,173.09,562.70,54002.8192,272.0425,54002.8192,194.0000,56,0,0,1.000,1.000,REFUSED_ALL_FULL,13036.41,22.66,1,B_optimized_placement,1.3793,56,55-69,MALE,0,unimpaired,0,0,0,1
Site 1777,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-119373,,no,4740,2020-09-10T07:00,,,,3671.51,1541.12,173.09,562.70,54002.8192,121.9608,54002.8192,194.0000,55,0,0,1.000,1.000,REFUSED_ALL_FULL,3634.94,36.57,1,B_optimized_placement,1.6077,55,55-69,FEMALE,0,unimpaired,0,0,0,1
