agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 683,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-221975,OCC,yes,4740,2020-09-10T07:00,4754.0,2020-09-10T07:14,14.0,958.28,937.22,17.27,112.1,1368.0458,13.9417,1368.0458,6.25,44,0,0,1.0,1.0,SHELTERED,937.22,21.05,0,A_current_placement,1.0781,44,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 690,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-167640,CJ,yes,4740,2020-09-10T07:00,5840.0,2020-09-11T01:20,1100.0,19936.2,11365.57,53.53,299.55,5209.9258,492.3875,5209.9258,24.35,52,1,0,1.0,1.0,SHELTERED,19934.93,1.28,0,A_current_placement,1.7738,52,25-54,MALE,0,unimpaired,1,0,1,1
Site 727,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-134294,CJ,yes,4740,2020-09-10T07:00,5840.0,2020-09-11T01:20,1100.0,16768.74,8014.0,53.53,299.55,5209.9258,459.1125,5209.9258,24.35,35,1,0,1.0,1.0,SHELTERED,16583.36,185.38,0,A_current_placement,1.7793,35,25-54,MALE,0,unimpaired,1,0,1,1
Site 746,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-212430,CJ,yes,4740,2020-09-10T07:00,5843.0,2020-09-11T01:23,1103.0,13818.04,5229.15,53.64,299.55,5224.0283,446.2792,5224.0283,24.4,49,0,0,1.0,1.0,SHELTERED,13798.51,19.53,0,A_current_placement,1.7059,49,25-54,MALE,0,unimpaired,0,0,0,0
Site 774,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-212300,CJ,yes,4740,2020-09-10T07:00,5840.0,2020-09-11T01:20,1100.0,19202.18,10631.5,53.53,299.55,5209.9258,484.6233,5209.9258,24.35,47,0,0,1.0,1.0,SHELTERED,19200.86,1.31,0,A_current_placement,1.7811,47,25-54,MALE,0,unimpaired,0,0,0,0
Site 775,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123745,CJ,yes,4740,2020-09-10T07:00,5845.0,2020-09-11T01:25,1105.0,14155.49,5584.83,53.72,299.55,5233.43,459.6642,5233.43,24.4333,51,0,0,1.0,1.0,SHELTERED,14154.19,1.3,0,A_current_placement,1.6633,51,25-54,MALE,0,unimpaired,0,0,0,0
Site 783,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-201737,OCC,yes,4740,2020-09-10T07:00,4753.0,2020-09-10T07:13,13.0,1030.22,1028.91,17.26,112.1,1367.05,12.9458,1367.05,6.2333,62,0,1,1.0,1.0,SHELTERED,1028.91,1.3,0,A_current_placement,1.2512,62,55-69,MALE,0,unimpaired,0,1,1,1
Site 786,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-119526,CJ,yes,4740,2020-09-10T07:00,5842.0,2020-09-11T01:22,1102.0,11687.95,3083.1,53.6,299.55,5219.3275,420.6658,5219.3275,24.3833,38,0,0,1.0,1.0,SHELTERED,11652.46,35.49,0,A_current_placement,1.7319,38,25-54,MALE,0,unimpaired,0,0,0,0
Site 797,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123684,OCC,yes,4740,2020-09-10T07:00,4754.0,2020-09-10T07:14,14.0,1084.75,1030.83,17.27,112.1,1368.0458,13.9417,1368.0458,6.25,42,0,0,1.0,1.0,SHELTERED,1030.83,53.92,0,A_current_placement,1.2772,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 803,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-109574,OCC,yes,4740,2020-09-10T07:00,4751.0,2020-09-10T07:11,11.0,1000.51,972.52,17.24,112.1,1365.0583,10.9542,1365.0583,6.2,54,0,0,1.0,1.0,SHELTERED,972.52,27.98,0,A_current_placement,1.4003,54,25-54,MALE,0,unimpaired,0,0,0,0
Site 805,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-167778,CJ,yes,4740,2020-09-10T07:00,5842.0,2020-09-11T01:22,1102.0,17095.61,8456.31,53.6,299.55,5219.3275,475.1692,5219.3275,24.3833,39,0,0,1.0,1.0,SHELTERED,17025.67,69.94,0,A_current_placement,1.7252,39,25-54,MALE,0,unimpaired,0,0,0,0
Site 806,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-112600,OCC,yes,4740,2020-09-10T07:00,4748.0,2020-09-10T07:08,8.0,646.01,634.62,17.21,112.1,1362.0708,7.9667,1362.0708,6.15,29,0,0,1.0,1.0,SHELTERED,634.62,11.38,0,A_current_placement,1.2586,29,25-54,MALE,0,unimpaired,0,0,0,0
Site 824,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-112967,CJ,yes,4740,2020-09-10T07:00,5842.0,2020-09-11T01:22,1102.0,17039.08,8460.55,53.6,299.55,5219.3275,474.06,5219.3275,24.3833,49,0,0,1.0,1.0,SHELTERED,17029.91,9.17,0,A_current_placement,1.723,49,25-54,MALE,0,unimpaired,0,0,0,0
Site 842,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-221931,CJ,yes,4740,2020-09-10T07:00,5841.0,2020-09-11T01:21,1101.0,21444.03,12846.29,53.57,299.55,5214.6267,516.8583,5214.6267,24.3667,58,0,0,1.0,1.0,SHELTERED,21415.65,28.39,0,A_current_placement,1.748,58,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1
